#  Contiguous U.S. February-January Average Temperature
# Units: Degrees Fahrenheit
# Missing: -99
Date,Value
189601,50.73
189701,51.7
189801,51.75
189901,51.34
190001,51.36
190101,52.56
190201,51.73
190301,51.64
190401,50.33
190501,51.11
190601,51.47
190701,51.53
190801,51.62
190901,52.05
191001,51.2
191101,52.68
191201,51.34
191301,50.7
191401,51.87
191501,51.33
191601,51.42
191701,50.84
191801,49.69
191901,52.52
192001,51.32
192101,51.49
192201,53.16
192301,52.67
192401,50.93
192501,50.81
192601,52.61
192701,52.04
192801,52.17
192901,51.43
193001,50.61
193101,52.75
193201,53.4
193301,51.95
193401,53.05
193501,53.8
193601,51.54
193701,51.93
193801,52.14
193901,53.32
194001,52.41
194101,52.57
194201,52.45
194301,51.79
194401,52.27
194501,51.69
194601,51.81
194701,52.97
194801,51.58
194901,51.43
195001,52.38
195101,51.36
195201,51.26
195301,52.64
195401,52.89
195501,53.19
195601,51.82
195701,52
195801,52.41
195901,51.74
196001,52.09
196101,51.45
196201,51.63
196301,51.68
196401,52.84
196501,51.69
196601,51.22
196701,52.04
196801,51.4
196901,51.35
197001,51.31
197101,51.79
197201,51.69
197301,51.33
197401,52.4
197501,52.37
197601,51.29
197701,50.89
197801,52.77
197901,50.71
198001,51.64
198101,52.49
198201,52.59
198301,51.91
198401,51.51
198501,51.76
198601,51.99
198701,53.04
198801,53.02
198901,53.14
199001,52.02
199101,52.92
199201,53.49
199301,52.33
199401,51.15
199501,53.17
199601,52.36
199701,51.9
199801,52.61
199901,54.12
200001,53.85
200101,53.07
200201,53.94
200301,53.06
200401,53.04
200501,53.34
200601,54.09
200701,53.61
200801,53.55
200901,52.35
201001,52.34
201101,52.9
201201,53.71
201301,54.95
201401,52.27
201501,52.74
201601,54.31
201701,55.01
201801,54.42
201901,53.54
202001,52.91
202101,54.28
202201,54.21
202301,53.71
202401,54.1
202501,55.28
